Serial,Model Name,Price (BDT)
1,FR-D720S-0.4K (2.5A),"20,500"
2,FR-D720-0.4K (2.5A),"18,500"
3,FR-D740-0.4K (1.2A),"24,000"
4,FR-E820-0.4K-1 (3A),"20,500"
5,FR-E840-0.4K-1 (1.6A),"29,000"
6,FR-A820-0.4K-1 (4.6A),"40,000"
7,FR-A840-0.4K-1 (2.3A),"60,500"
8,FR-D720S-0.75K (4.2A),"23,500"
9,FR-D720-0.75K (4.2A),"22,000"
10,FR-D740-0.75K (2.2A),"27,500"
11,FR-E820-0.75K-1 (5A),"25,500"
12,FR-E840-0.75K-1 (2.6A),"32,500"
13,FR-F820-0.75K-1 (4.6A),"48,500"
14,FR-F840-0.75K-1 (2.3A),"58,000"
15,FR-A820-0.75K-1 (7.7A),"52,000"
16,FR-A840-0.75K-1 (3.8A),"61,500"
17,FR-D720S-1.5K (7.0A),"25,500"
18,FR-D720-1.5K (7A),"23,500"
19,FR-D740-1.5K (3.6A),"30,500"
20,FR-E820-1.5K-1 (8A),"31,000"
21,FR-E840-1.5K-1 (4A),"37,500"
22,FR-F820-1.5K-1 (7.7A),"49,500"
23,FR-F840-1.5K-1 (3.8A),"58,500"
24,FR-A820-1.5K-1 (10.5A),"54,500"
25,FR-A840-1.5K-1 (5.2A),"66,500"
26,FR-D720S-2.2K (10A),"30,500"
27,FR-D720-2.2K (10A),"28,000"
28,FR-D740-2.2K (5A),"37,000"
29,FR-E820-2.2K-1 (11A),"33,500"
30,FR-E840-2.2K-1 (6A),"41,000"
31,FR-F820-2.2K-1 (10.5A),"57,500"
32,FR-F840-2.2K-1 (5.2A),"59,000"
33,FR-A820-2.2K-1 (16.7A),"59,500"
34,FR-A840-2.2K-1 (8.3A),"70,000"
35,FR-D720-3.7K (16.5A),"39,000"
36,FR-D740-3.7K (8A),"44,000"
37,FR-E820-3.7K-1 (17.5A),"47,500"
38,FR-E840-3.7K-1 (9.5A),"48,500"
39,FR-D720-5.5K (23.8A),"60,500"
40,FR-D740-5.5K (12A),"60,500"
41,FR-E820-5.5K-1 (24A),"62,000"
42,FR-E840-5.5K-1 (12A),"72,500"
43,FR-D720-7.5K (31.8A),"63,000"
44,FR-D740-7.5K (16A),"63,000"
45,FR-E820-7.5K-1 (33A),"73,000"
46,FR-E840-7.5K-1 (17A),"79,500"
47,FR-D720-11K (45A),"94,500"
48,FR-D740-11K (23A),"98,000"
49,FR-E820-11K-1 (47A),"98,000"
50,FR-E840-11K-1 (23A),"1,01,000"
51,FR-F820-11K-1 (49A),"1,02,500"
52,FR-F840-11K-1 (25A),"1,08,000"
53,FR-A820-11K-1 (63A),"1,12,500"
54,FR-A840-11K-1 (31A),"1,18,000"
55,FR-D720-15K (58A),"97,500"
56,FR-D740-15K (29.5A),"1,03,000"
57,FR-E820-15K-1 (60A),"1,05,000"
58,FR-E840-15K-1 (30A),"1,06,500"
59,FR-F820-15K-1 (63A),"1,12,500"
60,FR-F840-15K-1 (31A),"1,14,500"
61,FR-A820-15K-1 (77A),"1,29,500"
62,FR-A840-15K-1 (38A),"1,26,000"
63,FR-F840-18.5K-1 (38A),"1,17,500"
64,FR-A840-18.5K-1 (47A),"1,42,000"
65,FR-F840-22K-1 (47A),"1,42,000"
66,FR-A840-22K-1 (62A),"1,73,000"
67,FR-F840-30K-1 (62A),"1,77,000"
68,FR-A840-30K-1 (77A),"2,30,500"
69,FR-F840-37K-1 (77A),"2,17,000"
70,FR-A840-37K-1 (93A),"2,66,500"
71,FR-F840-45K-1 (93A),"2,89,000"
72,FR-A840-45K-1 (116A),"3,14,000"
73,FR-F840-55K-1 (116A),"3,25,000"
74,FR-A840-55K-1 (180A),"3,71,500"
75,FR-F840-75K-1 (180A),"4,23,000"
76,FR-A840-75K-1 (216A),"5,40,000"
77,FR-F840-90K-1 (216A),"5,48,000"
78,FR-A840-90K-1 (260A),"6,33,000"
79,FR-F840-110K-1 (260A),"5,79,500"
80,FR-A840-110K-1 (325A),"6,79,000"
81,FR-F840-132K-1 (325A),"6,78,500"
82,FR-A840-132K-1 (361A),"7,72,500"
83,FR-F840-160K-1 (361A),"7,90,000"
84,FR-A840-160K-1 (432A),"12,98,500"
85,FR-F840-185K-1 (432A),"11,68,000"
86,FR-A840-185K-1 (481A),"13,07,500"
87,FR-F840-220K-1 (481A),"12,38,500"
88,FR-A840-220K-1 (547A),"16,07,000"
89,FR-F840-250K-1 (547A),"16,32,000"
90,FR-A840-250K-1 (610A),"17,28,000"
91,FR-F840-280K-1 (610A),"17,16,500"
92,FR-A840-280K-1 (683A),"18,16,500"
93,FR-F840-315K-1 (683A),"18,11,000"
94,FR-A840-315K-1 (770A),"21,08,000"
95,FR-F840-355K-1 (770A),"23,88,000"
96,FR-A840-355K-1 (866A),"24,48,500"
97,FR-F840-400K-1 (866A),"27,65,500"
98,FR-A840-400K-1 (962A),"29,08,500"
